Número;Código Ayto;Centro;Dirección;Coordenada-X;Coordenada-Y;Latitud;Longitud;Superficie (m2);Uso del edificio;Adscripción;Distrito;Potencia KWp;Empresa instaladora;Puesta en servicio
1;2178;BIBLIOTECA ÁNGEL GONZALEZ;C/ GRANJA DE TORREHERMOSA, 2 ;434954;4472113;40.397.074.625.115.900;-37.664.885.474.841.500;;cultural; AG Cultura Turismo y Deportes ; Latina ;20;ORTIZ;31/07/2019
2;782;BIBLIOTECA IVÁN DE VARGAS;C/ DOCTOR LETAMENDI, 1;439775;4473962;4.041.410.290.844.660;-37.098.591.212.735.800;;cultural; AG Cultura Turismo y Deportes ; Centro ;3;ORTIZ;24/07/2019
3;2096;BIBLIOTECA EUGENIO TRIAS (CASA FIERAS);AV/ MENENDEZ PELAYO , 10-3 BJ ;442345;4474221;404.166.091.081.099;-36.795.930.368.034.800;;cultural; AG Cultura Turismo y Deportes ; Retiro ;8,2;ORTIZ;24/07/2019
4;1046;PLANETARIO;AV/ PLANETARIO 16;441830;4471375;40.390.944.081.814.800;-3.685.391.155.439.890;3.062;cultural; AG Cultura Turismo y Deportes ; Arganzuela ;25;FULTON;13/09/2019
5;2143;MADRID EMPRENDE;C/CIDRO, 3 ;436689;4468938;4.036.861.554.413.500;-374.573.026.512.817;;administrativo; AG Economía, Innovación y Empleo ; Carabanchel ;10;;
6;1779;MARES MADRID;C/ FRANCISCO LAGUNA 38;443153;4471330;40.390.628;-3.669.802;;administrativo; AG Economía, Innovación y Empleo ; Puente de Vallecas  ;7;;
7;2639;NAVE BOETTICHER;C/ CIFUENTES, 22 28021 MADRID;440849;4466524;40.347.177;-3.696.499;;administrativo; AG Economía, Innovación y Empleo ; Villaverde ;5;;
8;;MARES VILLAVERDE MAR DE ALIMENTACION Y CUIDADO;PASEO ALBERTO PALACIOS, 13;439657;4466414;40.346.099;-3.710.522;;administrativo; AG Economía, Innovación y Empleo ; Villaverde ;7;AURA;15/01/2019
9;317;AULA DE LA NATURALEZA DEHESA DE LA VILLA;C/ FRANCOS RODRIGUEZ, 97 ;439102;4478967;4.045.914.104.116.340;-3.718.270.563.679.260;;medioambiental; AG de Medio Ambiente y Movilidad ; Moncloa Aravaca ;2,5;;13/08/2008
10;;VIVERO MUNICIPAL DE ESTUFAS DEL RETIRO;"Pza. del Ángel Caído. Parque del Retiro 
(Entrada al Retiro al final de la cuesta de Claudio Moyano)";441779;4473428;4.040.943.503.279.110;-36.861.797.800.993.200;;medioambiental; AG de Medio Ambiente y Movilidad ; Retiro ;5;;
